"索引","DMM-1 时间 (s)","DMM-1 电压 (V)"
"381","67.7848611","0.07663891"
"382","67.9355518","0.0756086"
"383","68.0845051","0.07465181"
"384","68.232227","0.0737374"
"385","68.3799258","0.07276555"
"386","68.5268469","0.07196473"
"387","68.6754017","0.1255072"
"388","69.1450559","0.8375658"
"389","69.2913158","0.8592918"
"390","69.4393738","0.8594328"
"391","69.5870348","0.8590981"
"392","69.7346665","0.858824"
"393","69.880332","0.8569075"
"394","70.0280253","0.8372939"
"395","70.17321","0.5450751"
"396","70.3199276","0.1671001"
"397","70.4659644","0.07059043"
"398","70.6162171","0.0722637"
"399","71.0692773","0.07847703"
"400","71.2164223","0.07782609"
"401","71.3635069","0.07717441"
"402","71.5134257","0.07631153"
"403","71.6605171","0.07555731"
"404","71.8081443","0.07454964"
"405","71.9566259","0.07369924"
"406","72.1030374","0.07272619"
"407","72.2526856","0.07285016"
"408","72.4003666","0.07663182"
"409","72.5476942","0.1113104"
"410","72.6943526","0.857461"
"411","73.1748112","0.8571514"
"412","73.3263407","0.8568941"
"413","73.4790561","0.8545668"
"414","73.627997","0.8301968"
"415","73.7783124","0.4546791"
"416","73.9264854","0.1399238"
"417","74.0751731","0.07181767"
"418","74.2243291","0.07375729"
"419","74.3783553","0.07776386"
"420","74.5280965","0.07915191"
"421","74.6782493","0.07741677"
"422","75.1812343","0.0764975"
"423","75.3316844","0.07552896"
"424","75.4807721","0.07477221"
"425","75.6292919","0.07393323"
"426","75.776604","0.07386994"
"427","75.9241974","0.0764015"
"428","76.0722298","0.1042826"
"429","76.2231617","0.7195877"
"430","76.3732231","0.8528414"
"431","76.5243667","0.8557658"
"432","76.6722072","0.8558449"
"433","77.1462118","0.8507578"
"434","77.2925981","0.8028725"
"435","77.4404073","0.3103469"
"436","77.5868078","0.1096792"
"437","77.7327705","0.07074954"
"438","77.8816637","0.07467934"
"439","78.0304968","0.07820197"
"440","78.1803637","0.07954181"
"441","78.3286048","0.07957552"
"442","78.4783325","0.07914362"
"443","78.6272605","0.07842136"
"444","79.1435188","0.07533258"
"445","79.2903657","0.07467892"
"446","79.437319","0.07532138"
"447","79.5838504","0.08335556"
"448","79.7300942","0.1217673"
"449","79.8769636","0.8317853"
"450","80.0231069","0.8543246"
"451","80.1696421","0.8547199"
"452","80.316934","0.8545286"
"453","80.465077","0.8542506"
"454","80.61512","0.853359"
"455","81.099271","0.1456808"
"456","81.2471789","0.07196274"
"457","81.3947135","0.07263386"
"458","81.5410897","0.07655567"
"459","81.6887395","0.07900347"
"460","81.8365177","0.07977927"
"461","81.9854216","0.07964066"
"462","82.137225","0.07884523"
"463","82.2885936","0.07792058"
"464","82.4398156","0.07697171"
"465","82.5905393","0.07589251"
"466","83.0696561","0.07520883"
"467","83.2204974","0.09008348"
"468","83.3686481","0.2524803"
"469","83.5177739","0.839958"
"470","83.6667616","0.852859"
"471","83.8139579","0.8532071"
"472","83.964435","0.8526289"
"473","84.1127006","0.8524929"
"474","84.2624861","0.8525587"
"475","84.4121924","0.8468204"
"476","84.5617398","0.7739327"
"477","84.7110809","0.07106011"
"478","85.1937508","0.0755242"
"479","85.3406892","0.07839046"
"480","85.4888799","0.07956342"
"481","85.6355783","0.07973305"
"482","85.7845418","0.07919611"
"483","85.9329405","0.07823949"
"484","86.0804162","0.07738403"
